step,sim_time,dt,max_speed,max_accel
1897,18.6536,0.00740654,148.168,4557.32
1901,18.6833,0.00745197,150.507,4501.92
1905,18.7127,0.0070135,143.282,5082.41
1909,18.7407,0.0070135,143.282,5082.41
1913,18.7694,0.00716483,143.867,4869.98
1917,18.7984,0.00725843,151.822,4745.2
1921,18.8278,0.00737193,153.398,4600.22
1925,18.8562,0.00701271,155.424,5083.57
1929,18.8851,0.00743315,157.022,4524.75
1933,18.9146,0.00715809,153.44,4879.17
1937,18.9432,0.00715809,153.44,4879.17
1941,18.968,0.00621304,132.276,6476.37
1945,18.9962,0.00729902,128.054,4692.58
1949,19.0267,0.00795768,131.607,3947.9
1953,19.0562,0.00678702,123.818,5427.28
1957,19.0838,0.00730716,134.325,4682.13
1961,19.1129,0.00715776,134.351,4879.62
1965,19.1415,0.00715776,134.351,4879.62
1969,19.1689,0.00684846,134.972,5330.33
1973,19.1958,0.00666574,140.982,5626.57
1977,19.2238,0.00734329,147.743,4636.16
1981,19.2527,0.00692441,146.832,5214.04
1985,19.2804,0.00692441,146.832,5214.04
1989,19.3069,0.00661415,137.348,5714.69
1993,19.3357,0.00739866,124.493,4567.03
1997,19.3642,0.00704395,147.152,5038.57
2001,19.3921,0.00690001,155.039,5250.98
2005,19.4196,0.00671994,155.005,5536.17
2009,19.4464,0.00671994,155.005,5536.17
2013,19.473,0.00664999,149.656,5653.25
2017,19.5007,0.00701202,147.978,5084.57
2021,19.528,0.00664261,161.15,5665.81
2025,19.5551,0.0071208,157.87,4930.4
2029,19.5836,0.0071208,157.87,4930.4
2033,19.6096,0.00651724,152.802,5885.89
2037,19.6355,0.00646033,156.391,5990.05
2041,19.6619,0.00673709,164.329,5508.02
2045,19.6891,0.00701695,168.065,5077.43
2049,19.7172,0.00701695,168.065,5077.43
2053,19.7428,0.00640748,163.695,6089.28
2057,19.771,0.0072614,167.107,4741.33
2061,19.7999,0.00720769,162.39,4812.24
2065,19.8272,0.00645204,166.727,6005.46
2069,19.8537,0.0070581,165.22,5018.4
2073,19.8819,0.0070581,165.22,5018.4
2077,19.9097,0.00695182,169.776,5173
2081,19.9367,0.00667142,168.161,5616.98
2085,19.9637,0.0068231,170.145,5370.03
2089,19.9913,0.00721472,168.488,4802.87
2093,20.0202,0.00721472,168.488,4802.87
2097,20.045,0.00620341,171.08,6496.5
2101,20.0711,0.00661588,164.41,5711.69
2105,20.097,0.00635788,120.794,6184.64
2109,20.1221,0.00600915,127.074,6923.3
2113,20.1461,0.00600915,127.074,6923.3
2117,20.1701,0.00600377,128.039,6935.72
2121,20.1974,0.00707087,121.948,5000.27
2125,20.226,0.00726042,124.672,4742.6
2129,20.2548,0.00714113,125.594,4902.37
2133,20.283,0.00677224,125.107,5450.99
2137,20.3101,0.00677224,125.107,5450.99
2141,20.3365,0.00658682,125.207,5762.21
2145,20.3648,0.00726255,129.127,4739.82
2149,20.3921,0.00636364,120.909,6173.47
2153,20.4173,0.00617099,112.387,6564.94
2157,20.442,0.00617099,112.387,6564.94
2161,20.4685,0.00662647,118.891,5693.45
2165,20.4948,0.00657,124.643,5791.75
2169,20.5222,0.00695491,118.765,5168.41
2173,20.5478,0.00620421,123.723,6494.81
2177,20.5725,0.00611543,119.132,6684.77
2181,20.597,0.00617481,125.096,6556.82
2185,20.6217,0.00617481,125.096,6556.82
2189,20.6489,0.00681492,133.962,5382.93
2193,20.6771,0.00703182,132.303,5055.97
2197,20.7026,0.00615246,138.842,6604.54
2201,20.7287,0.00693381,135.678,5199.92
2205,20.7557,0.00617782,136.371,6550.43
2209,20.7804,0.00617782,136.371,6550.43
2213,20.8049,0.00611978,140.219,6675.25
2217,20.8324,0.00712798,132.699,4920.47
2221,20.8607,0.00702483,124.485,5066.03
2225,20.8887,0.00691694,133.323,5225.31
2229,20.9163,0.00688749,130.33,5270.1
2233,20.9439,0.00688749,130.33,5270.1
2237,20.9709,0.00674934,127.744,5488.05
2241,20.9975,0.00663628,127.73,5676.63
2245,21.0243,0.00672694,130.176,5524.65
2249,21.0522,0.00723837,119.136,4771.54
2253,21.0805,0.00654141,119.467,5842.48
2257,21.1066,0.00654141,119.467,5842.48
2261,21.1337,0.0067762,129.643,5444.63
2265,21.1601,0.00652265,128.037,5876.13
2269,21.1847,0.00577025,131.129,7508.45
2273,21.2086,0.00664657,135.767,5659.07
2277,21.2352,0.00664657,135.767,5659.07
2281,21.2612,0.00649447,129.393,5927.25
2285,21.2857,0.00602536,128.581,6886.1
2289,21.3104,0.00629277,133.388,6313.29
2293,21.336,0.00673445,134.493,5512.34
2297,21.3629,0.00673445,134.493,5512.34
2301,21.3888,0.0064789,131.305,5955.77
2305,21.414,0.00622683,126.934,6447.72
2309,21.4387,0.00613309,129.041,6646.32
2313,21.4637,0.00658779,135.352,5760.5
2317,21.4901,0.00658779,135.352,5760.5
2321,21.5139,0.00596385,139.178,7028.89
2325,21.5397,0.00659795,133.883,5742.77
2329,21.5664,0.00674319,133.324,5498.05
2333,21.5921,0.00553638,135.043,8156.21
2337,21.6143,0.00553638,135.043,8156.21
2341,21.6394,0.00628139,137.547,6336.2
2345,21.6657,0.00668298,145.708,5597.57
2349,21.6907,0.00580982,142.106,7406.53
2353,21.7142,0.00610601,139.719,6705.41
2357,21.7387,0.00610601,139.719,6705.41
2361,21.7631,0.00611621,137.883,6683.06
2365,21.787,0.00590108,138.138,7179.22
2369,21.8113,0.00625069,142.099,6398.59
2373,21.836,0.00600245,134.678,6938.78
2377,21.86,0.00600245,134.678,6938.78
2381,21.8841,0.00601549,137.88,6908.73
2385,21.9106,0.0068291,135.36,5360.6
2389,21.9374,0.00659114,146.373,5754.64
2393,21.9642,0.00700169,141.104,5099.58
2397,21.9922,0.00700169,141.104,5099.58
2401,22.02,0.00694152,140.823,5188.37
2405,22.0468,0.00664294,140.718,5665.25
2409,22.0737,0.00676724,143.924,5459.04
2413,22.1007,0.00669312,140.606,5580.62
2417,22.1274,0.00669312,140.606,5580.62
2421,22.1527,0.00632572,140.896,6247.71
2425,22.178,0.0063236,145.048,6251.89
2429,22.2035,0.00640173,131.47,6100.21
2433,22.2289,0.00616016,133.912,6588.05
2437,22.2535,0.00616016,133.912,6588.05
2441,22.2759,0.00559032,133.721,7999.58
2445,22.2996,0.00605988,136.034,6807.87
2449,22.3231,0.005685,137.596,7735.34
2453,22.346,0.0058796,138.084,7231.78
2457,22.3696,0.0058796,138.084,7231.78
2461,22.3924,0.0057082,137.654,7672.57
2465,22.4181,0.00665637,142.638,5642.42
2469,22.4451,0.00680152,142.152,5404.15
2473,22.4719,0.00658231,133.013,5770.11
2477,22.4978,0.00614981,132.938,6610.24
2481,22.5224,0.00614981,132.938,6610.24
2485,22.5505,0.00703345,138.784,5053.62
