sim_time,front_x,Z,T
41.8004,105.667,4.34757,26.5896
41.8604,105.667,4.34757,26.6278
41.9204,105.667,4.34757,26.666
41.9804,105.667,4.34757,26.7041
42.0404,105.667,4.34757,26.7423
42.1004,105.667,4.34757,26.7805
42.1604,105.667,4.34757,26.8186
42.2204,105.667,4.34757,26.8568
42.2804,105.667,4.34757,26.8949
42.3404,105.667,4.34757,26.9331
42.4004,105.667,4.34757,26.9713
42.4604,105.667,4.34757,27.0094
42.5204,105.667,4.34757,27.0476
42.5804,105.667,4.34757,27.0858
42.6404,104.791,4.32952,27.1239
42.7004,104.798,4.32967,27.1621
42.7604,104.808,4.32986,27.2003
42.8204,104.817,4.33005,27.2384
42.8804,104.824,4.33019,27.2766
42.9404,104.828,4.33028,27.3148
43.0004,104.831,4.33033,27.3529
43.0604,104.832,4.33036,27.3911
43.1204,104.833,4.33038,27.4293
43.1804,104.833,4.33038,27.4674
