sim_time,accel_med,speed_med
25.9920,7227.560,145.7130
26.0156,7227.560,145.7130
26.0393,7227.560,145.7180
26.0637,7156.040,146.2310
26.0880,7041.140,146.4910
26.1109,6944.780,146.8370
26.1339,7041.140,147.7320
26.1574,6944.780,147.7320
26.1814,6944.780,148.5640
26.2040,6944.780,148.5640
26.2271,6944.780,148.5640
26.2500,6944.780,149.4160
26.2721,7156.040,149.4160
26.2927,7156.040,149.4160
26.3156,7156.040,149.4160
26.3407,7156.040,148.5640
26.3662,6944.780,148.5640
26.3912,6944.780,148.5640
26.4156,6944.780,148.5640
26.4405,6944.780,149.4160
26.4650,6944.780,149.4160
26.4885,6944.780,149.4160
26.5118,6944.780,149.4160
26.5367,6803.770,149.5480
26.5609,6803.770,150.9400
26.5861,6803.770,151.0730
26.6104,6803.770,152.2690
26.6334,6803.770,152.2690
26.6551,6803.770,152.2690
26.6786,6803.770,152.2690
26.7013,6803.770,152.2690
26.7247,6803.770,153.2000
26.7491,6803.770,153.2000
26.7737,6803.770,153.2000
26.7966,7081.470,153.2000
26.8207,7081.470,152.2690
26.8447,7209.950,152.2690
26.8687,7209.950,152.2690
26.8934,7238.350,152.2690
26.9146,7256.190,152.2690
26.9352,7256.190,152.2690
26.9565,7256.190,151.4850
26.9785,7256.190,151.4850
26.9998,7256.190,151.4850
27.0224,7256.190,152.2690
27.0457,7355.850,153.2000
27.0699,7238.350,153.2000
27.0950,7238.350,153.2090
27.1204,7238.350,153.3890
27.1433,7238.350,154.1700
27.1678,7238.350,154.2470
27.1921,7355.850,155.2600
27.2151,7603.700,153.3890
27.2367,7666.100,153.2090
27.2596,7821.060,153.2000
27.2833,7821.060,153.2000
27.3078,7807.680,153.2000
27.3321,7666.100,153.2000
27.3546,7603.700,153.2090
27.3768,7603.700,153.2090
27.3998,7498.390,151.4850
27.4238,7603.700,150.5700
27.4486,7625.490,150.5700
27.4739,7666.100,148.5290
27.4987,7708.900,148.5290
27.5216,7708.900,150.5700
27.5435,7708.900,150.5700
27.5652,7807.680,150.5700
27.5871,7807.680,153.2090
27.6095,7708.900,153.3320
27.6313,7708.900,153.3890
27.6535,7708.900,153.5210
27.6762,7708.900,154.1280
27.6993,7708.900,154.1280
27.7222,7708.900,155.2600
27.7459,7708.900,155.2600
27.7689,7708.900,155.2600
27.7911,7708.900,154.1280
27.8139,7708.900,154.1280
27.8343,7708.900,153.5210
27.8554,7708.900,153.3320
27.8779,7708.900,153.3320
27.9010,7625.490,153.3320
27.9219,7577.020,153.5210
27.9458,7498.390,153.5210
27.9690,7498.390,153.5210
27.9929,7498.390,153.9010
28.0177,7315.920,153.9010
28.0421,7064.410,153.5210
28.0643,7064.410,153.5210
28.0868,7064.410,153.5210
28.1097,7064.410,153.9010
28.1334,7064.410,153.9010
28.1578,7064.410,153.9010
28.1821,7064.410,153.9010
28.2071,7064.410,153.5210
28.2302,7015.300,153.1970
28.2521,6807.980,152.9990
28.2764,6797.900,152.9230
28.3024,6797.900,152.2980
28.3271,6797.900,152.0000
28.3505,6797.900,151.9610
28.3735,6797.900,151.1600
28.3978,6797.900,150.6060
28.4203,6807.980,150.6060
28.4430,6807.980,150.4540
28.4669,6807.980,150.3930
28.4916,6807.980,150.3930
28.5152,6870.550,150.3930
28.5385,7208.300,150.3930
28.5613,7208.300,150.3930
28.5851,7368.750,150.3930
28.6098,7208.300,150.1450
28.6343,7208.300,149.7100
28.6553,7208.300,149.7100
28.6775,7208.300,149.1680
28.7008,7368.750,149.1680
28.7251,7368.750,148.6490
28.7497,7390.530,148.6490
28.7718,7410.060,148.6490
28.7941,7390.530,148.6490
28.8169,7390.530,148.6490
28.8395,7410.060,147.9330
28.8611,7525.580,147.3110
28.8844,7525.580,146.9710
28.9076,7525.580,146.9710
28.9299,7525.580,146.9710
28.9518,7613.670,146.9710
28.9756,7847.840,146.8020
28.9999,7970.660,146.3770
29.0254,7847.840,146.3770
29.0492,7613.670,145.3180
29.0709,7682.480,145.2490
29.0927,7682.480,145.2490
29.1139,7682.480,145.2490
29.1374,7682.480,145.2350
29.1611,7682.480,145.2350
29.1838,7734.880,145.2490
29.2059,7734.880,145.2490
29.2298,7682.480,145.2490
29.2545,7734.880,145.2490
29.2770,7734.880,145.1560
29.2975,7682.480,145.1560
29.3193,7682.480,145.2490
29.3402,7734.880,145.2490
29.3636,7909.830,145.2490
29.3884,7909.830,145.3180
29.4130,7909.830,147.1060
29.4358,7909.830,147.1060
29.4606,7909.830,147.1060
29.4839,7745.060,145.2490
29.5061,7745.060,145.2490
29.5279,7745.060,145.2490
29.5504,7734.880,146.0020
29.5739,7682.480,147.1060
29.5952,7734.880,147.3180
29.6169,7745.060,147.3350
29.6402,7734.880,149.1960
29.6645,7682.480,149.1960
29.6856,7682.480,150.6690
29.7069,7682.480,150.6800
29.7282,7705.830,150.8500
29.7493,7705.830,150.8500
29.7706,7705.830,150.9010
29.7945,7705.830,150.9010
29.8176,7734.880,150.9010
29.8405,7745.060,151.1490
29.8637,7745.060,154.0140
29.8874,7745.060,154.2280
29.9111,7705.830,154.2280
29.9340,7705.830,154.5980
29.9564,7705.830,154.5980
29.9789,7705.830,155.0710
