sim_time,front_x,Z,T,cohesion,viscosity,tension
14.5262,105.667,4.34757,9.24023,0,3.14,0
14.5862,105.667,4.34757,9.27839,0,3.14,0
14.6462,105.667,4.34757,9.31656,0,3.14,0
14.7062,105.667,4.34757,9.35473,0,3.14,0
14.7662,105.667,4.34757,9.39289,0,3.14,0
14.8262,105.667,4.34757,9.43106,0,3.14,0
14.8862,105.667,4.34757,9.46923,0,3.14,0
14.9462,105.667,4.34757,9.50739,0,3.14,0
15.0062,105.667,4.34757,9.54556,0,3.14,0
15.0662,105.667,4.34757,9.58373,0,3.14,0
15.1262,105.667,4.34757,9.62189,0,3.14,0
15.1862,105.667,4.34757,9.66006,0,3.14,0
15.2462,105.667,4.34757,9.69823,0,3.14,0
15.3062,105.667,4.34757,9.73639,0,3.14,0
15.3662,105.667,4.34757,9.77456,0,3.14,0
15.4262,105.667,4.34757,9.81273,0,3.14,0
15.4862,105.667,4.34757,9.85089,0,3.14,0
15.5462,105.667,4.34757,9.88906,0,3.14,0
15.6062,105.667,4.34757,9.92722,0,3.14,0
15.6662,105.667,4.34757,9.96539,0,3.14,0
15.7262,105.667,4.34757,10.0036,0,3.14,0
15.7862,105.667,4.34757,10.0417,0,3.14,0
15.8462,105.667,4.34757,10.0799,0,3.14,0
15.9062,105.667,4.34757,10.1181,0,3.14,0
15.9656,105.667,4.34757,10.1558,0,3.14,0
16.0199,105.667,4.34757,10.1904,0,3.14,0
16.0737,105.667,4.34757,10.2246,0,3.14,0
16.1332,105.667,4.34757,10.2625,0,3.14,0
16.1932,105.667,4.34757,10.3007,0,3.14,0
16.2532,105.667,4.34757,10.3388,0,3.14,0
16.3132,105.667,4.34757,10.377,0,3.14,0
16.3732,105.667,4.34757,10.4152,0,3.14,0
16.4332,105.667,4.34757,10.4533,0,3.14,0
16.4932,105.667,4.34757,10.4915,0,3.14,0
16.5532,105.667,4.34757,10.5297,0,3.14,0
16.6132,105.667,4.34757,10.5678,0,3.14,0
16.6732,105.667,4.34757,10.606,0,3.14,0
16.7332,105.667,4.34757,10.6442,0,3.14,0
16.7932,105.667,4.34757,10.6823,0,3.14,0
16.8532,105.667,4.34757,10.7205,0,3.14,0
16.9132,105.667,4.34757,10.7587,0,3.14,0
16.9732,105.667,4.34757,10.7968,0,3.14,0
17.0332,105.667,4.34757,10.835,0,3.14,0
17.0932,105.667,4.34757,10.8732,0,3.14,0
17.1532,105.667,4.34757,10.9113,0,3.14,0
17.2132,105.667,4.34757,10.9495,0,3.14,0
17.2732,105.667,4.34757,10.9877,0,3.14,0
17.3332,105.667,4.34757,11.0258,0,3.14,0
17.3932,105.667,4.34757,11.064,0,3.14,0
17.4532,105.667,4.34757,11.1022,0,3.14,0
17.5132,105.667,4.34757,11.1403,0,3.14,0
17.5732,105.667,4.34757,11.1785,0,3.14,0
17.6332,105.667,4.34757,11.2167,0,3.14,0
17.6932,105.667,4.34757,11.2548,0,3.14,0
17.7532,105.667,4.34757,11.293,0,3.14,0
17.8132,105.667,4.34757,11.3312,0,3.14,0
17.8732,105.667,4.34757,11.3693,0,3.14,0
17.9332,105.667,4.34757,11.4075,0,3.14,0
17.9932,105.667,4.34757,11.4457,0,3.14,0
18.0532,105.667,4.34757,11.4838,0,3.14,0
18.1132,105.667,4.34757,11.522,0,3.14,0
18.1732,105.667,4.34757,11.5601,0,3.14,0
18.2332,105.667,4.34757,11.5983,0,3.14,0
18.2932,105.667,4.34757,11.6365,0,3.14,0
18.3532,105.667,4.34757,11.6746,0,3.14,0
18.4132,105.667,4.34757,11.7128,0,3.14,0
18.4732,105.667,4.34757,11.751,0,3.14,0
18.5332,105.667,4.34757,11.7891,0,3.14,0
18.5932,105.667,4.34757,11.8273,0,3.14,0
18.6532,105.667,4.34757,11.8655,0,3.14,0
18.7132,105.667,4.34757,11.9036,0,3.14,0
18.7732,105.667,4.34757,11.9418,0,3.14,0
18.8332,105.667,4.34757,11.98,0,3.14,0
18.8932,105.667,4.34757,12.0181,0,3.14,0
18.9532,105.667,4.34757,12.0563,0,3.14,0
19.0132,105.667,4.34757,12.0945,0,3.14,0
19.0732,105.667,4.34757,12.1326,0,3.14,0
19.1332,105.667,4.34757,12.1708,0,3.14,0
19.1932,105.667,4.34757,12.209,0,3.14,0
19.2532,105.667,4.34757,12.2471,0,3.14,0
19.3132,105.667,4.34757,12.2853,0,3.14,0
19.3732,105.667,4.34757,12.3235,0,3.14,0
19.4332,105.667,4.34757,12.3616,0,3.14,0
19.4932,105.667,4.34757,12.3998,0,3.14,0
19.5532,105.667,4.34757,12.438,0,3.14,0
19.6132,105.667,4.34757,12.4761,0,3.14,0
19.6732,105.667,4.34757,12.5143,0,3.14,0
19.7332,105.667,4.34757,12.5525,0,3.14,0
19.7932,105.667,4.34757,12.5906,0,3.14,0
19.8532,105.667,4.34757,12.6288,0,3.14,0
19.9132,105.667,4.34757,12.667,0,3.14,0
19.9732,105.667,4.34757,12.7051,0,3.14,0
20.0332,105.667,4.34757,12.7433,0,3.14,0
20.0932,105.667,4.34757,12.7815,0,3.14,0
20.1532,105.667,4.34757,12.8196,0,3.14,0
